,Tipo de Propiedad,Zona,Ciudad,Barrio,Calle,Tipo de Barrio,Apto Escritura,Apto Crédito,Etapa de Construcción,Antigüedad,Cantidad de Plantas,Cantidad de Dormitorios,Cantidad de Baños,Cantidad de Cocheras,Cobertura Cocheras,Superficie Total m2,Superficie Cubierta m2,Valor
1883,Casa,,Córdoba,Valle Escondido ,Av. Republica De China  100,,,,,15,,3.0,3.0,4.0,,600,300,0.0
1884,Casa,,Villa Allende,La Herradura,La Herradura LA HERRADURA- YUNKE 1114,,,,,,,,,,,,,470000.0
1885,Casa,,San Antonio de Arredondo,San Antonio de Arredondo,GARCIA CUERVA 266,,,,,3,,3.0,2.0,2.0,,702,180,120000.0
1886,Casa,,Córdoba,risol NOrte,Yaco Misque 1400,,,,,,,4.0,3.0,,,288,215,192000.0
1887,Casa,,Villa Allende,illa Allende,Río de Janeiro 474,,,,,A estrenar,,2.0,2.0,,,975,146,130000.0
1888,Casa,,Córdoba,Córdoba,Campu de Vuelo III 2 Dormitorios Pileta Seguridad 24hs,,,,,2,,2.0,2.0,2.0,,300,170,200000.0
1889,Casa,,Córdoba,Alto Palermo,Cerro Centenario Proximo Urca Bajada del Cerro Duplex 3 Dormitorios 3 Baños  Housing,,,,,A estrenar,,3.0,3.0,0.0,,250,180,310000.0
1890,Casa,,Villa Carlos Paz,Villa Carlos Paz,Yrigoyen 200,,,,,49,,4.0,2.0,,,409,180,230000.0
1891,Casa,,Córdoba,Córdoba,Celso Barrios,,,,,21,,3.0,,,,110,85,65000.0
1892,Casa,,Córdoba,Parque Horizonte,Las Vegas 700,,,,,45,,3.0,2.0,,,300,280,180000.0
1893,Casa,,Córdoba,La Catalina,Av E. Bodereau 8700,,,,,,,2.0,2.0,,,180,110,140000.0
1894,Casa,,La Cumbre,Malabia al 100,Córdoba La Cumbre  Más de 3 dormitorios,,,,,1,,3.0,3.0,,,9000,120,240000.0
1895,Casa,,Río Ceballos,rgentina 53,E- km 18,,,,,A estrenar,,2.0,,0.0,,400,100,143000.0
1896,Casa,,Córdoba,Doctor Manuel Moreno al 900,Córdoba  Más de 3 dormitorios,,,,,1,,3.0,3.0,,,156,,65000.0
1897,Casa,,Santa María,Santa María,Casa Calle 13 Esquina 15,,,,,A estrenar,,3.0,2.0,2.0,,600,,160000.0
1898,Casa,,Córdoba,Córdoba,Tristan de Tejeda 734,,,,,20,,2.0,,0.0,,292,70,90000.0
1899,Casa,,Córdoba,Córdoba,Marie Curie 2400,,,,,5,,3.0,2.0,,,200,200,95000.0
1900,Casa,,Punilla,Punilla,Carlos Paz - Lago Azul,,,,,A estrenar,,3.0,4.0,4.0,,800,440,395000.0
1901,Casa,,Córdoba,Centro,Centro Paso de los Andes 57,,,,,68,,4.0,4.0,0.0,,500,335,350000.0
1902,Casa,,Córdoba,Córdoba,Tuyuti 2600,,,,,A estrenar,,4.0,3.0,2.0,,500,310,230000.0
1903,Casa,,Córdoba,Valle Escondido ,AV REPUBLICA CHINA,,,,,1,,4.0,3.0,2.0,,935,430,0.0
1904,Casa,,Villa Allende,Terrazas de Villa Allende,Villa Allende - Terrazas de Villa Allende,,,,,A estrenar,,3.0,0.0,0.0,,600,236,0.0
1905,Casa,,Villa Allende,Villa Allende,Mendoza 1,,,,,A estrenar,,4.0,3.0,,,1504,309,330000.0
1906,Casa,,Córdoba,Ledesma y Ceballos al 1300,Córdoba Colinas del Cerro  2 dormitorios,,,,,1,,2.0,2.0,,,262,122,170000.0
1907,Casa,,Villa Dolores,Villa Dolores,peron 300,,,,,,,4.0,,,,365,295,190000.0
1908,Casa,,Córdoba,S.M.A.T.A.,Publica   1500,,,,,14,,3.0,,,,342,79,140000.0
1909,Casa,,Córdoba,La Carolina,San Judas Tadeo 100,,,,,2,,2.0,2.0,2.0,,260,260,330000.0
1910,Casa,,Santa María,Santa María,Potrero DE Garay,,,,,2,,3.0,3.0,,,1200,,275000.0
1911,Casa,,Córdoba,Córdoba,Casa en Venta - Parque Velez Sarsfield,,,,,55,,4.0,2.0,2.0,,380,250,179000.0
1912,Casa,,Punilla,Punilla,Armonia 100,,,,,35,,3.0,3.0,2.0,,2822,322,220000.0
1913,Casa,,Villa Allende,Villa Allende Golf,Estados Unidos Esq. San Sebastian,,,,,20,,3.0,3.0,0.0,,2200,,390000.0
1914,Casa,,Malagueño,,c45 km 2,,,,,1,,2.0,3.0,2.0,,2323,254,250000.0
1915,Casa,,Córdoba,General Paz,Oncativo 2108,,,,,64,,3.0,2.0,,,226,128,90000.0
1916,Casa,,Córdoba,Argüello,Av. Recta Martinolli 8800,,,,,A estrenar,,3.0,2.0,,,250,157,1.0
1917,Casa,,Villa de Las Rosas,Villa de Las Rosas,RUTA 14 KM 127,,,,,9,,10.0,5.0,,,6005,325,225000.0
1918,Casa,,Córdoba,Fincas 1,Casa en Fincas del Sur - 4 Dormitorios y 4 Baños - Pileta - 2.000 mts de Terreno,,,,,10,,4.0,4.0,2.0,,2000,580,0.0
1919,Casa,,Malagueño,Tierralta Comarca Serrana,ruta 20,,,,,12,,4.0,3.0,2.0,,2118,430,420000.0
1920,Casa,,Mayu Sumaj,Mayu Sumaj,ruta 14,,,,,10,,2.0,2.0,,,700,200,148000.0
1921,Casa,,Río Ceballos,Río Ceballos,Villa Catalina,,,,,En construcción,,2.0,,,,450,100,110000.0
1922,Casa,,Córdoba,Córdoba,- Brisas del Nejar,,,,,A estrenar,,3.0,2.0,,,180,130,180000.0
