,Tipo de Propiedad,Zona,Barrio,Tipo de Barrio,Cantidad de Dormitorios,Cantidad de Baños,Cantidad de Cocheras,Superficie Cubierta m2,Superficie Total m2,Zona_was_missing,Barrio_was_missing,Tipo de Barrio_was_missing,Cantidad de Dormitorios_was_missing,Cantidad de Baños_was_missing,Cantidad de Cocheras_was_missing,Superficie Cubierta m2_was_missing,Superficie Total m2_was_missing,Valor
2672,Casa,Oeste,Lomas del Chateau,Con Seguridad,3.0,2.0,1.0,151.2874298095703,250.0,False,False,False,False,False,False,True,False,150000.0
2673,Casa,Cerro-Argüello,Chacras de la Villa,Cerrado,3.0,2.0,0.0,248.218994140625,471.0076904296875,False,False,False,False,True,True,True,True,380000.0
2674,Casa,Cerro-Argüello,Mendiolaza Golf,Cerrado,4.0,2.0,0.0,214.91659545898438,396.3536071777344,False,False,False,False,True,True,True,True,270000.0
2675,Duplex,Oeste,Otro,Abierto,1.0,2.0,0.0,88.16477966308594,154.8960723876953,True,True,True,False,True,True,True,True,45000.0
2676,Casa,Cerro-Argüello,Cinco Lomas,Cerrado,4.0,4.0,2.0,370.0,1600.0,False,False,False,False,False,False,False,False,350000.0
2677,Casa,Noroeste,Alto Verde,Abierto,3.0,1.0,0.0,138.72274780273438,256.21392822265625,False,False,False,False,False,True,True,True,85000.0
2678,Casa,Cerro-Argüello,Villa Rivera Indarte,Abierto,3.0,2.0,0.0,200.0,4000.0,False,False,False,False,True,True,False,False,400000.0
2679,Casa,Oeste,Las Palmas,Abierto,3.0,1.0,2.0,154.0,300.0,False,False,False,False,False,False,False,False,110000.0
2680,Casa,Central,Paso de los Andes,Abierto,3.0,3.0,2.0,290.0,300.0,False,False,False,False,False,False,False,False,225000.0
2681,Duplex,Cerro-Argüello,Lomas Este,Abierto,1.0,2.0,1.0,50.0,200.0,False,False,False,False,False,False,False,False,85000.0
2682,Casa,Cerro-Argüello,Chacras de la Villa,Cerrado,3.0,3.0,0.0,370.0,1241.0,False,False,False,False,False,True,False,False,400000.0
2683,Casa,Cerro-Argüello,Lomas Este,Abierto,3.0,2.0,0.0,220.43980407714844,392.5031433105469,False,False,False,False,True,True,True,True,260000.0
2684,Casa,Norte,Otro,Abierto,4.0,3.0,2.0,600.0,700.0,True,True,True,False,False,False,False,False,200000.0
2685,Duplex,Cerro-Argüello,Lomas Este,Abierto,1.0,2.0,1.0,50.0,200.0,False,False,False,False,False,False,False,False,85000.0
2686,Casa,Central,Güemes,Abierto,4.0,2.0,1.0,181.0,147.0,False,False,False,False,False,False,False,False,185000.0
2687,Casa,Cerro-Argüello,Chacras de la Villa,Cerrado,3.0,2.0,0.0,251.80079650878906,479.59686279296875,False,False,False,False,True,True,True,True,365000.0
2688,Casa,Cerro-Argüello,San Isidro,Cerrado,3.0,2.0,0.0,251.2655487060547,495.61077880859375,False,False,False,False,True,True,True,True,360000.0
2689,Casa,Cerro-Argüello,Chacras de la Villa,Cerrado,3.0,3.0,0.0,370.0,1241.0,False,False,False,False,False,True,False,False,400000.0
2690,Casa,Cerro-Argüello,San Isidro,Cerrado,5.0,4.0,2.0,410.0,1080.0,False,False,False,False,False,False,False,False,390000.0
2691,Casa,Cerro-Argüello,Lomas Este,Abierto,4.0,5.0,3.0,500.0,4900.0,False,False,False,False,False,False,False,False,750000.0
2692,Casa,Cerro-Argüello,Golf,Abierto,4.0,4.0,1.0,247.0,861.0,False,False,False,False,False,False,False,False,160000.0
2693,Casa,Cerro-Argüello,Cuatro Hojas,Cerrado,3.0,3.0,3.0,240.0,1200.0,False,False,False,False,False,False,False,False,210000.0
2694,Casa,Cerro-Argüello,Lomas Este,Abierto,3.0,2.0,1.0,150.0,560.0,False,False,False,False,False,False,False,False,145000.0
2695,Casa,Cerro-Argüello,Chacras de la Villa,Cerrado,4.0,4.0,2.0,440.0,1333.0,False,False,False,False,False,False,False,False,420000.0
2696,Casa,Este,General Paz,Abierto,3.0,2.0,0.0,90.0,90.0,False,False,False,False,False,True,False,False,110000.0
2697,Casa,Cerro-Argüello,Villa Allende Parque,Abierto,3.0,2.0,0.0,147.9354248046875,246.5497283935547,False,False,False,False,True,True,True,True,100000.0
2698,Casa,Cerro-Argüello,Golf,Abierto,3.0,2.0,0.0,249.2152862548828,447.2916259765625,False,False,False,False,True,True,True,True,350000.0
