,Tipo de Propiedad,Zona,Ciudad,Barrio,Calle,Tipo de Barrio,Apto Escritura,Apto Crédito:,Etapa de Construcción,Antigüedad,Cantidad de Plantas,Cantidad de Dormitorios,Cantidad de Baños,Cantidad de Cocheras,Cobertura Cocheras,Superficie Total m2,Superficie Cubierta m2,Valor
5071,Casa,,Río Ceballos,Villa Catalina,villa catalina,Cerrado,Si,,Terminada,,2 Plantas,3 Dormitorios,2 Baños,3,,400,116,110000
5072,Casa,Norte,Córdoba,San Salvador,Jose m Lanza 380,Abierto,,,Terminada,,2 Plantas,3 Dormitorios,2 Baños,,,275,265,135000
5073,Casa,Norte,Córdoba,Cerro de las Rosas,,Abierto,Si,,,Reciclada.. ,1 Planta,4 Dormitorios,4 Baños,3,Cubierta,1733,450,
5074,Casa,,La Calera,,,Abierto,Si,,,4 Años,2 Plantas,3 Dormitorios,2 Baños,1,Semidescubierta,120,100,90000
5075,Casa,,Córdoba,,monaco,Abierto,,,,,,3 Dormitorios,,,,,,71000
5076,Duplex,Norte,Córdoba,,,Abierto,,,Terminada,,2 Plantas,2 Dormitorios,2 Baños,,,100,90,75000
5077,Casa,,Villa Allende,Golf,venecia 455,Abierto,,,Terminada,,2 Plantas,3 Dormitorios,2 Baños,,,750,160,190000
5078,Casa,,Córdoba,,Los chimangos 257,Abierto,Si,,Terminada,,,2 Dormitorios,2 Baños,,,1000,350,200000
5079,Duplex,,Córdoba,Palermo Bajo,OBISPO MOSCOSO 2644,Abierto,No,,,,2 Plantas,3 Dormitorios,3 Baños,1,Semidescubierta,270,180,285000
5080,Casa,Norte,Córdoba,Urca,Marcos Sastre  1324,Abierto,,,Terminada,,,4 Dormitorios,4 Baños,4,,652,462,500000
5081,Casa,,Córdoba,Cerro de las Rosas,"Martel de los Rios,",Abierto,Si,,,20 AÑOS,2 Plantas,3 Dormitorios,4 Baños,2,,650,450,550000
5082,Casa,,,,,Country,Si,,,10 años,3 Plantas,4 Dormitorios,Más de 4 Baños,2,Cubierta,1175,350,400000
5083,Casa,,Río Ceballos,,,,,,,,,Monoambiente,,,,,,80000
5084,Casa,,Córdoba,Centro,fragueiro 252,Abierto,,,Terminada,7 años,2 Plantas,1 Dormitorio,1 Baño,,,,,70000
5085,Casa,Norte,Córdoba,Quebrada de las Rosas,PALPA 5670,Abierto,,,Terminada,,,2 Dormitorios,1 Baño,,,,,110000
5086,Casa,,Villa Allende,Cumbres del Golf,,Abierto,,,Terminada,,,4 Dormitorios,3 Baños,2,Cubierta,1000,330,230000
5087,Casa,Norte,Córdoba,La Catalina,la catalina barrio cerrado,Cerrado,,,,,1 Planta,2 Dormitorios,2 Baños,1,,200,112,
5088,Casa,Norte,Córdoba,Las Margaritas,,Abierto,,,Terminada,,,2 Dormitorios,1 Baño,,,240,,105000
5089,Casa,,Córdoba,Marq. de Sobremonte,Perez De Correa 500,,,,,20 años,1 Planta,3 Dormitorios,3 Baños,2,Cubierta,640,280,250000
5090,Casa,Norte,Córdoba,,,Cerrado,,,Terminada,,,3 Dormitorios,,,,1800,200,245000
5091,Casa,Norte,Córdoba,Valle Escondido,,Country,,,Terminada,,,3 Dormitorios,3 Baños,,,790,240,290000
5092,Casa,,Mendiolaza,,,Con Seguridad,,,,,,3 Dormitorios,,,,,,220000
5093,Casa,Norte,Córdoba,San Salvador,Santa Rosa 3988,Abierto,,,Terminada,,,3 Dormitorios,2 Baños,2,Cubierta,362,186,210000
5094,Casa,Norte,Córdoba,,Pampas 7446,Abierto,,,Terminada,30 años,1 Planta,2 Dormitorios,1 Baño,,,420,104,85000
5095,Casa,Norte,Córdoba,Arguello,taravella  6126,Abierto,Si,,Terminada,20 años Aprox,1 Planta,Más de 4 Dormitorios,Más de 4 Baños,3,Cubierta,1800,700,
5096,Casa,Norte,Córdoba,Lomas de la Carolina,,Country,Si,,Terminada,10 Años,2 Plantas,4 Dormitorios,4 Baños,5,Cubierta,1700,400,500000
5097,Casa,Norte,Córdoba,Chacra del Norte,,Cerrado,,,Terminada,,2 Plantas,3 Dormitorios,,1,Cubierta,180,140,190000
5098,Casa,Oeste,Córdoba,Palermo Bajo,Sagrada Familia 1564,Abierto,Si,,,45 años,1 Planta,3 Dormitorios,1 Baño,2,Cubierta,342,181,
5099,Casa,,Córdoba,Colón,Juan Rodriguez 2196,Abierto,,,,30 años,2 Plantas,3 Dormitorios,2 Baños,1,Cubierta,265,203,190000
5100,Casa,,Mendiolaza,El Talar,san alfonso del talar,Cerrado,,,,,,2 Dormitorios,2 Baños,1,,510,130,120000
5101,Casa,Este,Córdoba,Las Palmas,Santa Ana ,Abierto,Si,,Terminada,,1 Planta,2 Dormitorios,1 Baño,1,,,,
5102,Casa,,Córdoba,20 de Junio,Los Tartagos 779,,,,,,,3 Dormitorios,2 Baños,1,,,210,150000
5103,Casa,Este,Córdoba,Las Palmas,,Abierto,,,Terminada,15 Años,1 Planta,2 Dormitorios,1 Baño,,,,,120000
5104,Casa,,Córdoba,Villa Allende Parque,,Country,Si,,Terminada,,1 Planta,4 Dormitorios,4 Baños,4,,,,435000
5105,Casa,,Córdoba,Patricios,Pedro Sanguineto 3636,,,,,,,2 Dormitorios,1 Baño,,,250,,
5106,Duplex,Norte,Córdoba,Chacra del Norte,Spilimbergo y Circunvalación,Cerrado,,,,,2 Plantas,3 Dormitorios,,1,Semidescubierta,,,175000
5107,Casa,Norte,Córdoba,,,Cerrado,,,,,2 Plantas,3 Dormitorios,3 Baños,,,,,140000
5108,Casa,Norte,Córdoba,Villa Cabrera,,Abierto,Si,,Terminada,,2 Plantas,Más de 4 Dormitorios,4 Baños,2,,,,215000
5109,Casa,Norte,Córdoba,Urca,parque naciones,Abierto,,,,,,3 Dormitorios,4 Baños,2,,600,350,270000
5110,Casa,,Mendiolaza,Otro,Los Cactus ,Abierto,Si,,Terminada,,2 Plantas,3 Dormitorios,2 Baños,4,,,,145000
5111,Casa,,Córdoba,A.T.E.,Peteroa 200,,,,,,,2 Dormitorios,1 Baño,,,250,148,
5112,Casa,Norte,Córdoba,General Pueyrredon,JUAN DE GARAY 2240,Abierto,Si,,,46 años,2 Plantas,Más de 4 Dormitorios,2 Baños,,,211,184,60000
5113,Casa,Norte,Córdoba,Alta Córdoba,,Abierto,Si,,,40 años,2 Plantas,2 Dormitorios,,,,95,100,95000
5114,Casa,,Córdoba,Alta Córdoba,,Abierto,Si,,,60 años,1 Planta,3 Dormitorios,,,,183,157,140000
5115,Casa,,Córdoba,Los Platanos,Maldonado 1500,,Si,,,10 años,,3 Dormitorios,,1,,250,180,
5116,Cabaña,,Villa General Belgrano,,,,Si,,,10 años,,1 Dormitorio,,,,5500,350,
5117,Duplex,Norte,Córdoba,Chacra del Norte,Spilimbergo 5200,Cerrado,Si,,,,2 Plantas,3 Dormitorios,3 Baños,2,Cubierta,,150,185000
5118,Casa,Oeste,Córdoba,Palermo Bajo,Sagrada Familia 1564,Abierto,Si,,,45 años,1 Planta,3 Dormitorios,1 Baño,2,Cubierta,342,181,
5119,Casa,,Córdoba,Juniors,Alejandro Carbo 1500,,,,,40 años,2 Plantas,3 Dormitorios,,1,Cubierta,270,200,
5120,Casa,,Salsipuedes,,España 61,Abierto,Si,,Terminada,,1 Planta,3 Dormitorios,2 Baños,2,Cubierta,1900,160,150000
5121,Cabaña,,Villa General Belgrano,,,,Si,,,10 años,,1 Dormitorio,,,,5500,350,
5122,Duplex,Norte,Córdoba,Chacra del Norte,Spilimbergo 5200,Cerrado,Si,,,,2 Plantas,3 Dormitorios,3 Baños,2,Cubierta,,150,185000
5123,Casa,,Córdoba,La France,,Abierto,Si,,,,1 Planta,2 Dormitorios,1 Baño,2,Cubierta,243,130,95000
5124,Casa,Oeste,Córdoba,Palermo Bajo,Sagrada Familia 1564,Abierto,Si,,,45 años,1 Planta,3 Dormitorios,1 Baño,2,Cubierta,342,181,
5125,Casa,Oeste,Córdoba,Palermo Bajo,Sagrada Familia 1564,Abierto,Si,,,45 años,1 Planta,3 Dormitorios,1 Baño,2,Cubierta,342,181,139000
5126,Casa,Sur,Córdoba,Pque. Velez Sarsfield,HAMMARSKJOLD ,Abierto,,,Terminada,,1 Planta,4 Dormitorios,2 Baños,1,Cubierta,375,190,210000
5127,Casa,Norte,Córdoba,Cerro de las Rosas,MENENDEZ PIDAL 3300,Abierto,,,Terminada,,2 Plantas,4 Dormitorios,Más de 4 Baños,2,Cubierta,815,452,460000
5128,Duplex,Sur,Córdoba,Claros del Bosque,,Cerrado,,,Terminada,,2 Plantas,3 Dormitorios,3 Baños,1,Semidescubierta,180,140,200000
5129,Casa,,Córdoba,Centro,,,,,,,,Monoambiente,,,,,,
5130,Duplex,Norte,Córdoba,Chacra del Norte,chacras del norte,Cerrado,No,,,,2 Plantas,3 Dormitorios,2 Baños,2,,,,210000
5131,Casa,Norte,Córdoba,Cerro de las Rosas,FADER 3500,Abierto,Si,,Terminada,58 años,1 Planta,3 Dormitorios,1 Baño,1,Cubierta,363,197,160000
5132,Duplex,Norte,Córdoba,Villa Belgrano,Av. GAUSS 5600,Cerrado,,,Terminada,10 AÑOS,2 Plantas,3 Dormitorios,3 Baños,2,Semidescubierta,170,120,170000
5133,Casa,,Córdoba,Cerro de las Rosas,JOSE REYNAFE,,Si,,,,,Más de 4 Dormitorios,,,,,,380000
5134,Casa,Norte,Córdoba,Cerro de las Rosas,VICTORINO RODRIGUEZ,Abierto,,,Terminada,,1 Planta,Más de 4 Dormitorios,Más de 4 Baños,3,Cubierta,1036,560 MAS 169 QUINCHO 760 MTRS,380000
5135,Casa,,Córdoba,,,Cerrado,Si,,Terminada,15 años,1 Planta,3 Dormitorios,3 Baños,,Semidescubierta,1500,250,330000
5136,Duplex,,Córdoba,San Fernando,,Abierto,,,,,2 Plantas,2 Dormitorios,2 Baños,,,,78,66000
5137,Casa,,Córdoba,Arguello,JOSE AGUSTI 7000,,Si,,Terminada,1991 años,2 Plantas,4 Dormitorios,4 Baños,,Cubierta,870,578,350000
5138,Casa,,Córdoba,Alto Alberdi,SANTA ANA 3800,,,,,,,3 Dormitorios,,,,,,90000
5139,Casa,Este,Córdoba,Alta Córdoba,Torres Fray Jose 200,Abierto,,,,,2 Plantas,3 Dormitorios,2 Baños,1,Cubierta,,,150000
5140,Duplex,Sur,Córdoba,Claros del Bosque,Celso Barrios,Cerrado,,,,,2 Plantas,3 Dormitorios,3 Baños,,,180,140,183000
5141,Casa,,Villa Allende,Golf,AV ARGENTINA 1,Abierto,Si,,,1 año,2 Plantas,3 Dormitorios,3 Baños,2,Cubierta,1000,280,295000
5142,Casa,,Villa Allende,San Alfonso,Av Bodereau 9300,Con Seguridad,Si,,Terminada,8 años,2 Plantas,3 Dormitorios,2 Baños,1,Cubierta,500,,250000
5143,Casa,,La Paisanita,,,Abierto,,,Terminada,4 años,1 Planta,1 Dormitorio,1 Baño,1,Semidescubierta,55,2500,65000
5144,Casa,,Córdoba,Guemes,Francisco Narciso de Laprida 568,,,,,,2 Plantas,4 Dormitorios,2 Baños,,,244,216,170000
5145,Casa,Norte,Córdoba,Arguello Norte,,Abierto,Si,,Terminada,12 años,1 Planta,3 Dormitorios,1 Baño,2,Cubierta,360,100,120000
5146,Casa,Norte,Córdoba,Urca,,Abierto,,,Terminada,30 años,1 Planta,3 Dormitorios,2 Baños,1,Cubierta,,,160000
5147,Casa,,Córdoba,Jardín Espinosa,Salvador Maldonado 3132,,,,,,1 Planta,3 Dormitorios,1 Baño,,,400,,180000
5148,Casa,Norte,Córdoba,Cerro de las Rosas,GREGORIO VELEZ 4259,Abierto,,,Terminada,,,3 Dormitorios,2 Baños,2,Cubierta,1200,,320000
5149,Casa,Norte,Córdoba,Cerro de las Rosas,Pasaje encina,Abierto,Si,,,,,3 Dormitorios,,,,736 m2,588 m2,900000
5150,Casa,,Villa Allende,Golf,castelli 200,Cerrado,No,,Terminada,,2 Plantas,3 Dormitorios,2 Baños,1,Semidescubierta,,90,150000
5151,Casa,,Villa Allende,Housing y Condominios,Castelli 200,Cerrado,,,Terminada,5 años,2 Plantas,2 Dormitorios,2 Baños,1,Semidescubierta,,90,140000
5152,Casa,Norte,Córdoba,Arguello,PELLIZA 6800,Abierto,,,Terminada,10 AÑOS,2 Plantas,3 Dormitorios,2 Baños,2,,780M2,"201,14",260000
5153,Casa,Norte,Córdoba,Villa Quizquizacate,León XIII 8473,Abierto,Si,,Terminada,10 años,2 Plantas,Más de 4 Dormitorios,4 Baños,3,Cubierta,896,410,230000
5154,Casa,,Mendiolaza,Cuatro Hojas,,Cerrado,Si,,Terminada,10 años,2 Plantas,4 Dormitorios,4 Baños,2,Cubierta,,,300000
5155,Casa,Norte,Córdoba,Granja de Funes,,Abierto,,,Terminada,,1 Planta,2 Dormitorios,1 Baño,2,Semidescubierta,500 m2,125,185000
5156,Casa,Sur,Córdoba,Jockey Club,CELSO BARRIOS,Country,,,Terminada,,2 Plantas,Más de 4 Dormitorios,Más de 4 Baños,4,,1300,560,960000
5157,Casa,Centro,Córdoba,Cofico,sd 100,Abierto,Si,,Terminada,25 años,2 Plantas,4 Dormitorios,3 Baños,2,Cubierta,,,210000
5158,Casa,Sur,Córdoba,,Av O higgins 2810,Abierto,Si,,Terminada,,1 Planta,3 Dormitorios,1 Baño,2,Cubierta,318.5,104.53,180000
5159,Casa,Sur,Córdoba,Pque. Velez Sarsfield,Jose Mateo Molina 600,Abierto,,,Terminada,30 años,1 Planta,2 Dormitorios,2 Baños,1,Cubierta,230,167,140000
5160,Duplex,Sur,Córdoba,La Paya II,LA PAYA II,Con Seguridad,,,Terminada,,3 Plantas,3 Dormitorios,2 Baños,1,Cubierta,125,130,160000
5161,Casa,,Río Ceballos,Otro,Juarez Celman,Abierto,Si,,Terminada,mas de 10 años,1 Planta,3 Dormitorios,1 Baño,1,Cubierta,380,150,95000
5162,Casa,Sur,Córdoba,Pque. Latino,Cannes  4000,Abierto,,,Terminada,,1 Planta,3 Dormitorios,2 Baños,2,Cubierta,300,160,140000
5163,Casa,,Villa Allende,Otro,Luchese 2000,Cerrado,,,,,,Monoambiente,,,,,,190000
5164,Casa,Sur,Córdoba,Cañuelas,CAÑUELAS VILLAGE,Cerrado,,,Terminada,3 años,2 Plantas,3 Dormitorios,3 Baños,2,Cubierta,750,260,360000
5165,Casa,Sur,Córdoba,Jockey Club,,Country,,,Terminada,,2 Plantas,3 Dormitorios,3 Baños,2,,1000,,580000
5166,Casa,,Mendiolaza,Valle del Sol,sd 1,Abierto,,,Terminada,15 años,2 Plantas,3 Dormitorios,2 Baños,2,Cubierta,1100,260,175000
5167,Casa,Sur,Córdoba,Fincas del Sur II,Camino a San Carlos   5500,Con Seguridad,No,,,a estrenar,1 Planta,3 Dormitorios,,2,Semidescubierta,1350,300,430000
5168,Casa,,Córdoba,Villa Warcalde,EGUIA ZANON,Abierto,,,Terminada,,1 Planta,3 Dormitorios,Más de 4 Baños,,Cubierta,4200M2,400M2,450000
5169,Casa,,Villa Allende,,,Country,Si,,,,2 Plantas,4 Dormitorios,3 Baños,2,Cubierta,1200,330,390000
5170,Casa,Sur,,,Rafael Igarzabal 800,Abierto,,,Terminada,40 años,1 Planta,4 Dormitorios,4 Baños,2,Cubierta,780,330,210000
5171,Casa,Norte,Córdoba,Arguello,Ricardo Rojas 7200,Abierto,Si,,Terminada,,2 Plantas,Más de 4 Dormitorios,Más de 4 Baños,3,Cubierta,1375,494,350000
5172,Casa,Sur,Córdoba,Claros del Bosque,,Country,,,Terminada,,2 Plantas,2 Dormitorios,2 Baños,1,Cubierta,400,190,280000
5173,Casa,Sur,Córdoba,Jockey Club,CELSO BARRIOS,Country,,,Terminada,,2 Plantas,Más de 4 Dormitorios,Más de 4 Baños,4,,1300,560,960000
5174,Casa,Sur,Córdoba,Chacra del Sur,Av Valparaiso,Con Seguridad,No,,,,2 Plantas,3 Dormitorios,3 Baños,1,Cubierta,177,,220000
5175,Duplex,Sur,Córdoba,La Paya II,LA PAYA II,Con Seguridad,,,Terminada,,3 Plantas,3 Dormitorios,2 Baños,1,Cubierta,125,130,160000
5176,Duplex,Sur,Córdoba,Greenville 2,,Con Seguridad,Si,,,,2 Plantas,3 Dormitorios,3 Baños,1,,180,170,220000
5177,Duplex,Norte,Córdoba,Villa Rivera Indarte,Arroyo Cabral 8800,Abierto,Si,,,,2 Plantas,2 Dormitorios,2 Baños,1,Cubierta,198,94,135000
5178,Duplex,Sur,Córdoba,Claros del Bosque,Celso Barrios,Cerrado,,,,,2 Plantas,3 Dormitorios,3 Baños,,,180,170,210000
5179,Duplex,Sur,Córdoba,Claros del Bosque,,Cerrado,,,Terminada,,2 Plantas,2 Dormitorios,2 Baños,,,,120,135000
5180,Casa,,Córdoba,Poeta Lugones,Carlos Vega 4600,Abierto,Si,,,,,2 Dormitorios,1 Baño,,,254,58,130000
5181,Casa,Norte,Córdoba,Villa Belgrano,Carlos Laverán esq. Blas Pascal,Abierto,Si,,Terminada,30 años,1 Planta,3 Dormitorios,2 Baños,4,Cubierta,470,248,220000
5182,Casa,,Córdoba,Jardín,,Abierto,,,,,,Más de 4 Dormitorios,,,,,,200000
5183,Duplex,,Córdoba,Altos de Manantales,,Con Seguridad,,,,,2 Plantas,3 Dormitorios,3 Baños,,,180,150,220000
5184,Casa,,Córdoba,Villa Warcalde,EGUIA ZANON,Abierto,,,Terminada,,1 Planta,3 Dormitorios,Más de 4 Baños,,Cubierta,4200M2,400M2,450000
5185,Casa,,Unquillo,,9 de julio  500,,Si,,Terminada,,1 Planta,3 Dormitorios,1 Baño,,,300,68,75000
5186,Casa,Sur,Córdoba,Jardín Espinosa,JOSE MORETTO ,Abierto,,,,,2 Plantas,3 Dormitorios,3 Baños,2,,375,280,300000
5187,Casa,Sur,Córdoba,Jardín,Hernando de Lerma ,Abierto,,,,,,2 Dormitorios,,,,380,145,170000
5188,Casa,,Villa Allende,,El Molle 100,,No,,Terminada,11 años,1 Planta,3 Dormitorios,3 Baños,3,,1800,400,400000
5189,Duplex,Sur,Córdoba,Tejas del Sur II,,Abierto,,,,,,3 Dormitorios,,,,,,150000
5190,Casa,,Córdoba,Jockey Club,,Country,Si,,,,,3 Dormitorios,,,,1000,384,500000
5191,Casa,Sur,Córdoba,Jardín Espinosa,,Abierto,Si,,,50 años,2 Plantas,4 Dormitorios,3 Baños,3,Cubierta,450,320,330000
5192,Casa,,Córdoba,Manantiales,,,,,,,,2 Dormitorios,,,,90,180,145000
5193,Casa,Sur,Córdoba,Jardín Espinosa,,Abierto,,,,,,3 Dormitorios,2 Baños,,,200,156,240000
5194,Casa,Sur,Córdoba,Jardín,,Abierto,,,,,1 Planta,3 Dormitorios,2 Baños,2,Cubierta,200,150,160000
5195,Casa,,Córdoba,Rogelio Martinez,,Abierto,,,Terminada,,1 Planta,Más de 4 Dormitorios,3 Baños,,,317,260,230000
5196,Casa,Norte,Córdoba,,Av. Republica China,Country,,,Terminada,,2 Plantas,3 Dormitorios,3 Baños,2,Cubierta,680,400,390000
5197,Casa,,Córdoba,Maipu Sección 2,Ferroviarios ,Abierto,,,,,,4 Dormitorios,4 Baños,4,Cubierta,850,630,350000
5198,Casa,,Villa Allende,San Isidro,,Country,Si,,Terminada,10 años,2 Plantas,3 Dormitorios,2 Baños,2,Cubierta,1200,330,390000
5199,Casa,,Córdoba,Miradores de Manantiales,,Con Seguridad,,,,,1 Planta,3 Dormitorios,3 Baños,1,,340,150,230000
5200,Casa,Centro,Córdoba,Centro,san jose de calasanz  65,Abierto,Si,,,,,Monoambiente,,,,,,40500
5201,Casa,,Córdoba,Arguello,AV DONATO ALVAREZ 8100,,,,,,,3 Dormitorios,,,,,,
5202,Casa,Norte,Córdoba,Talleres Este,AV. DEL TRABAJO 1981,Abierto,,,,,1 Planta,2 Dormitorios,1 Baño,1,Cubierta,,,75000
5203,Casa,,Río Ceballos,Villa Catalina,,Cerrado,Si,,,,2 Plantas,2 Dormitorios,2 Baños,1,Cubierta,,,165000
5204,Casa,,Córdoba,Cabildo,TUNUYAN 2146,,,,,,,3 Dormitorios,1 Baño,,,250,65,
5205,Casa,Norte,Córdoba,,MZA 22 LOTE 21 CASA 1,Abierto,,,Terminada,,2 Plantas,2 Dormitorios,1 Baño,1,Descubierta,200,80,50000
5206,Casa,,Córdoba,Lomas de la Carolina,,,,,,,,3 Dormitorios,Más de 4 Baños,3,,1500,550,800000
5207,Casa,,Córdoba,Alejandro Carbó,,,,,,,,3 Dormitorios,,,,,,
5208,Casa,Norte,Córdoba,Talleres Oeste,DIAGONAL ICA 1335,Abierto,,,Terminada,,1 Planta,Más de 4 Dormitorios,3 Baños,1,Cubierta,,,120000
5209,Casa,Sur,Córdoba,,Av. Rogelio Nores Martinez  2793,Cerrado,,,,,,Monoambiente,,,,,,190000
5210,Casa,Norte,Córdoba,Las Rosas,RICARDO PEDRONI,Abierto,Si,,Terminada,,2 Plantas,4 Dormitorios,Más de 4 Baños,3,Cubierta,800,450,280000
5211,Casa,Norte,Córdoba,Villa Gran Parque,CALLE 3 CASA 43,Abierto,Si,,,,,4 Dormitorios,,,,,,48000
5212,Casa,,Córdoba,Observatorio,PASO DE LOS ANDES 1100,,,,,,,2 Dormitorios,,,,,,125000
5213,Casa,,Malvinas Argentinas,,,,,,,,,2 Dormitorios,,,,,,
5214,Casa,,Córdoba,Patricios,,,,,,,1 Planta,2 Dormitorios,1 Baño,1,,,,60000
5215,Casa,Norte,Córdoba,Alta Córdoba,SUCRE  3176,Abierto,,,,53 años,1 Planta,2 Dormitorios,1 Baño,1,Cubierta,250,186,125000
5216,Casa,,Villa Allende,Centro de Villa Allende,Goicoechea,,Si,,,,2 Plantas,3 Dormitorios,2 Baños,2,Cubierta,,130,150000
5217,Casa,,Córdoba,Cerro de las Rosas,Tristan Malbran,Abierto,Si,,Terminada,,1 Planta,4 Dormitorios,Más de 4 Baños,3,Cubierta,1800,500,
5218,Casa,,,,Lisboa 76,Abierto,Si,,,,1 Planta,3 Dormitorios,2 Baños,2,Cubierta,2500,300,350000
5219,Casa,Norte,Córdoba,Villa Belgrano,Neper ,Abierto,,,,30 años,,4 Dormitorios,,,,550,320,
5220,Casa,,La Calera,La Estanzuela,,Country,Si,,Terminada,,3 Plantas,3 Dormitorios,4 Baños,,Cubierta,500,382,280000
5221,Casa,,Villa Allende,La Paloma,Mendoza,Country,Si,,,10 años,1 Planta,2 Dormitorios,2 Baños,2,Cubierta,1500,170,
5222,Casa,,Villa Allende,Golf,Salamanca  1398,Abierto,,,Terminada,5 años,2 Plantas,3 Dormitorios,3 Baños,2,,850,200,190000
5223,Casa,,Córdoba,General Bustos,HOMAMAY 1300,Abierto,Si,,,20 años,,3 Dormitorios,,,,189,130,44000
5224,Casa,Sur,Córdoba,Parque Horizonte,Bahamas 4310,Abierto,Si,,,35 años,,3 Dormitorios,2 Baños,1,Semidescubierta,300,130,85000
5225,Casa,Norte,Córdoba,Alta Córdoba,Manuel Lucero 366,Abierto,,,,40 años,,3 Dormitorios,,,,,,110000
5226,Casa,Norte,Córdoba,Valle Escondido,Republica de china ,Cerrado,Si,,,15 años,1 Planta,2 Dormitorios,3 Baños,2,Cubierta,620,220,280000
5227,Casa,Norte,Córdoba,Villa Rivera Indarte,Boderau,Cerrado,,,,,2 Plantas,3 Dormitorios,2 Baños,2,Semidescubierta,,110,140000
5228,Casa,Norte,Córdoba,Cerro de las Rosas,Barranco Yaco 2050,Abierto,Si,,Terminada,,2 Plantas,3 Dormitorios,3 Baños,2,Cubierta,1200,600,
5229,Casa,Sur,Córdoba,Inaudi,,Cerrado,No,,,,2 Plantas,3 Dormitorios,2 Baños,2,Cubierta,125,,189000
5230,Casa,Sur,Córdoba,Res. Velez Sarfield,Pizarro 816,Abierto,Si,,Terminada,23 años,1 Planta,2 Dormitorios,1 Baño,,,250,80,
5231,Casa,,Córdoba,,,,,,,,,2 Dormitorios,,,,,,130000
5232,Casa,,Córdoba,,,,,,,,,2 Dormitorios,,,,,,
5233,Casa,,Córdoba,,,,,,,,,2 Dormitorios,,,,,,150000
5234,Casa,,La Calera,,,Abierto,,,,,2 Plantas,2 Dormitorios,2 Baños,1,Semidescubierta,128,"91,90",100000
5235,Duplex,,La Calera,,,,,,,,2 Plantas,2 Dormitorios,2 Baños,1,,190,90,110000
5236,Casa,,Córdoba,Arguello,,,Si,,,17 años,,3 Dormitorios,,,,700,250,260000
5237,Casa,,Córdoba,Guemes,Bolivar 500,,,,,54 años,1 Planta,3 Dormitorios,2 Baños,4,Cubierta,395,241,382000
5238,Casa,,Córdoba,,,,,,,,,2 Dormitorios,,,,,,195000
5239,Casa,,Córdoba,Villa Allende Parque,Cruz Alta 645,,,,,35 años,1 Planta,2 Dormitorios,3 Baños,,,484,260,75000
5240,Casa,,Córdoba,,,,,,,,,2 Dormitorios,,,,,,210000
5241,Casa,,Córdoba,,,,,,,,,2 Dormitorios,,,,,,200000
5242,Casa,,Córdoba,,,,,,,,,1 Dormitorio,,,,,,170000
5243,Casa,,Córdoba,,,,,,,,,1 Dormitorio,,,,,,200000
5244,Casa,,Córdoba,,,,,,,,,2 Dormitorios,,,,,,325000
5245,Casa,,La Calera,,Las Fresias 1000,Abierto,,,,,,3 Dormitorios,,,Cubierta,650,400,530000
5246,Casa,Norte,Córdoba,Siete Soles,Siete Soles VERANDAS,Cerrado,,,Terminada,2 años,2 Plantas,2 Dormitorios,3 Baños,2,,600,200,
5247,Casa,Oeste,Córdoba,Siete Soles,SIETE SOLES - VERANDAS,Cerrado,Si,,Terminada,4 años,1 Planta,2 Dormitorios,1 Baño,3,Cubierta,645,240,280000
5248,Casa,,Córdoba,Siete Soles,Air Force Cordoba 3000,Cerrado,,,Terminada,1 año,2 Plantas,3 Dormitorios,3 Baños,3,Cubierta,1500,360,
5249,Casa,,Córdoba,Observatorio,BRASIL  900,Abierto,,,,,,2 Dormitorios,,,,252,57,
5250,Casa,Oeste,Córdoba,Siete Soles,SIETE SOLES - VERANDAS,Cerrado,Si,,Terminada,4 años,1 Planta,2 Dormitorios,1 Baño,3,Cubierta,645,240,280000
5251,Casa,Oeste,Córdoba,Valle Escondido,av republica de china,Country,,,,,1 Planta,3 Dormitorios,2 Baños,2,Semidescubierta,,,
5252,Casa,Norte,Córdoba,,Temistocles castellano  1500,Abierto,Si,,Terminada,,1 Planta,3 Dormitorios,1 Baño,2,Cubierta,,,140000
5253,Casa,Norte,Córdoba,Urca,MENENDEZ PIDAL  4100,Abierto,Si,,Terminada,,2 Plantas,3 Dormitorios,2 Baños,,,,,295000
5254,Casa,Este,Córdoba,General Paz,Gral Guemes 300,Abierto,Si,,Terminada,,1 Planta,2 Dormitorios,1 Baño,,,,90,140000
5255,Casa,,Córdoba,,,,,,,,,2 Dormitorios,,,,,,190000
5256,Casa,Norte,Córdoba,Las Delicias,,Country,Si,,Terminada,20 años,2 Plantas,Más de 4 Dormitorios,4 Baños,2,Cubierta,2011,450,
5257,Casa,,Córdoba,,,,,,,,,2 Dormitorios,,,,,,225000
5258,Casa,,Río Ceballos,Villa Catalina,,Abierto,,,,,,2 Dormitorios,1 Baño,,,,,84000
5259,Casa,,Córdoba,,,,,,,,,1 Dormitorio,,,,,,135000
5260,Casa,,Córdoba,,,,,,,,,2 Dormitorios,,,,,,200000
5261,Casa,,Córdoba,,,,,,,,,2 Dormitorios,,,,,,225000
5262,Casa,,Córdoba,,,,,,,,,1 Dormitorio,,,,,,154000
5263,Casa,,Córdoba,,,,,,,,,2 Dormitorios,,,,,,116000
5264,Casa,,Córdoba,,,,,,,,,2 Dormitorios,,,,,,220000
5265,Casa,,Córdoba,,,,,,,,,2 Dormitorios,,,,,,
5266,Casa,,Córdoba,,,,,,,,,2 Dormitorios,,,,,,90000
