,Tipo de Propiedad,Zona,Ciudad,Barrio,Calle,Tipo de Barrio,Apto Escritura,Apto Crédito:,Etapa de Construcción,Antigüedad,Cantidad de Plantas,Cantidad de Dormitorios,Cantidad de Baños,Cantidad de Cocheras,Cobertura Cocheras,Superficie Total m2,Superficie Cubierta m2,Valor
3302,Casa Quinta,,Anisacate,,"Av, Los Naranjos 400",,Si,,Terminada,16 años,1 Planta,2 Dormitorios,2 Baños,3,,4800,200,220000
3303,Duplex,,Córdoba,Nuevo Poeta Lugones,,,,,,A Estrenar,2 Plantas,3 Dormitorios,3 Baños,2,,180,183,200000
3304,Casa,,Villa Allende,San Isidro,LUCHESSE,Country,,,,,,3 Dormitorios,,,,,,300000
3305,Casa,Oeste,Córdoba,San Isidro,,Cerrado,,,,,,Monoambiente,,,,,,360000
3306,Casa,,Córdoba,Res. Oeste,calixto gauna 1123,,Si,,,35 años,,2 Dormitorios,,,,250,150,
3307,Duplex,Norte,Córdoba,Nuevo Poeta Lugones,,Con Seguridad,,,,,,3 Dormitorios,,,,180,173,200000
3308,Casa,,Córdoba,Los Naranjos,Celia Torra 2924,,Si,,Terminada,35 años,1 Planta,3 Dormitorios,1 Baño,1,,220,115,77000
3309,Casa,,Río Ceballos,Villa Catalina,,Cerrado,Si,,,,1 Planta,2 Dormitorios,1 Baño,1,Semidescubierta,101 mts,"83,60",95000
3310,Casa,Sur,Córdoba,Colinas de V. Sarsfield,benito soria 300,Abierto,Si,,Terminada,40 años,2 Plantas,4 Dormitorios,2 Baños,1,Cubierta,450,220,180000
3311,Casa,,Córdoba,Claros del Bosque,av. celso barrios 3600,Cerrado,No,,,,,3 Dormitorios,3 Baños,2,,180,175,220000
3312,Casa,Este,Córdoba,San Vicente,OBISPO MALDONADO 2267,Abierto,Si,,,,,4 Dormitorios,,,,,,
3313,Duplex,,Córdoba,Palermo Bajo,,,,,,EN CONSTRUCUIN,,3 Dormitorios,3 Baños,,,325,110,
3314,Casa,Sur,Córdoba,San Pablo,HUASCHA 2898,Abierto,Si,,Terminada,49 años,1 Planta,2 Dormitorios,2 Baños,1,Semidescubierta,276,112,98000
3315,Casa,Norte,Córdoba,Villa Belgrano,Calle Buitrago,,,,,,,3 Dormitorios,,,,,,135000
3316,Casa,Sur,Córdoba,Empalme,,Abierto,Si,,Terminada,50 años,1 Planta,3 Dormitorios,2 Baños,1,,225,110,68000
3317,Casa,Sur,Córdoba,San Fernando,,Abierto,Si,,,,2 Plantas,4 Dormitorios,2 Baños,,,234 m2,216 m2,
3318,Casa,Sur,Córdoba,,VALPARAISO  5400,Country,Si,,,,,4 Dormitorios,3 Baños,,,1500,380,430000
3319,Casa,Norte,Córdoba,Arguello,,,,,,,,4 Dormitorios,,,,,,365000
3320,Casa,Sur,Córdoba,Pque. Velez Sarsfield,,Abierto,,,,,2 Plantas,Más de 4 Dormitorios,,3,,810 m2,463 m2,
