,Tipo de Propiedad,Zona,Ciudad,Barrio,Calle,Tipo de Barrio,Apto Escritura,Apto Crédito,Etapa de Construcción,Antigüedad,Cantidad de Plantas,Cantidad de Dormitorios,Cantidad de Baños,Cantidad de Cocheras,Cobertura Cocheras,Superficie Total m2,Superficie Cubierta m2,Valor
988,Casa,,Córdoba,Parque Velez Sarsfield,Jose Ramon Aguirre 2900,,,,,,1,4,3,3,,250,200,179000
989,Casa,,Pdo. de Calamuchita,La Calera,Av. Ejercito Argentino 100,,,,,2,3,4,3,2,,803,330,265000
990,Casa,,Pdo. de Colon,Salsipuedes,E53 300,,,,,50,1,3,1,2,,700,90,100000
991,Casa,,Pdo. de Calamuchita,La Calera,Av. Ejercito Argentino 100,,,,,2,3,4,3,2,,803,330,285000
992,Duplex,,Córdoba,Arguello,Palmas De Claret 100,,,,,16,2,2,2,1,,120,90,100000
993,Casa,,Pdo. de Colon,Villa Allende,Av. Padre 100,,,,,2,1,2,,1,,360,100,139000
994,Casa,,Pdo. de San Javier,Los Hornillos,,,,,,2,2,3,3,2,,900,150,80000
995,Casa,,Córdoba,Parque Velez Sarsfield,Jose Ramon Aguirre 2900,,,,,,1,4,3,3,,250,200,179000
996,Casa,,Córdoba,Villa Cabrera,"Villa Cabrera, Julian Paz 1800",,,,,13,,3,3,,,325,180,150000
997,Casa,,Córdoba,General Paz,Catamarca 1800,,,,,37,,3,1,1,,220,180,170000
998,Casa,,Córdoba,Las Margaritas,Hermino Malvino 2600,,,,,,,2,1,,,250,100,100000
999,Casa,,Pdo. de Calamuchita,La Calera,Av. Ejercito Argentino 100,,,,,2,3,4,3,2,,803,330,285000
1000,Casa,,Córdoba,Arguello,Tipayante 7700,,,,,,,3,1,1,,2.500,320,180000
1001,Casa,,Villa Carlos Paz,Altos De Las Vertientes,Tierraalta 100,,,,,,,2,1,,,785,170,115000
1002,Casa,,Córdoba,Providencia,Neuquen 800,,,,,50,1,3,1,,,130,120,85000
1003,Duplex,,Córdoba,Jardin,,,,,,4,,3,,,,,,160000
1004,Casa,,Pdo. de Tercero Arriba,Almafuerte,,,,,,,,,,,,,,
1005,Casa,,Córdoba,Arguello,"Arguello, Jorge Descote 7300",,,,,,1,2,1,1,,250,70,60000
1006,,,Córdoba,San Vicente,Agustín Garzon 2100,,,,,34,,3,3,,,,,73000
1007,Casa,,Villa Carlos Paz,Altos De Las Vertientes,San Nicolas 100,,,,,,,2,2,4,,320,92,60000
1008,Casa,,Pdo. de Punilla,Villa Carlos Paz,Gobernador Alvarez 100,,,,,,,3,3,2,,625,375,340000
1009,Casa,,Córdoba,Arguello,Pampas 7700,,,,,70,1,3,2,3,,1.381,259,150000
1010,Casa,,Córdoba,Arguello,"Arguello, Pablo Luis Pesati 7400",,,,,,,3,2,,,580,248,50257
